p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.5475,0.545,0.55,0.994,8.954148274930187e-05,7.206557967750647e-05,3.597864587152011e-05,2.2010199075126935e-07,0.7999999999999993,0.3993989478197448,0.994,0.7999999999999993,0.3993989478197448,0.002443352199329841,4.477074137465093e-05,3.6032789838753236e-05,1.7989322935760056e-05,1.1005099537563467e-07,0.002443352199329841,1000
0.55,0.5475,0.5525,0.995,8.963156472389874e-05,1.8016394919376618e-05,1.801639491937662e-05,2.0102575217051521e-07,0.19999999999999982,0.19999999999999987,0.995,0.19999999999999982,0.19999999999999987,0.0022315868748448895,4.481578236194937e-05,9.008197459688309e-06,9.00819745968831e-06,1.0051287608525761e-07,0.0022315868748448895,1000
0.5525,0.55,0.555,0.995,8.963156472389874e-05,7.206557967750647e-05,3.597864587152011e-05,2.0102575217051521e-07,0.7999999999999993,0.3993989478197448,0.995,0.7999999999999993,0.3993989478197448,0.0022315868748448895,4.481578236194937e-05,3.6032789838753236e-05,1.7989322935760056e-05,1.0051287608525761e-07,0.0022315868748448895,1000
0.555,0.5525,0.5575,0.999,8.999189262228628e-05,7.206557967750647e-05,3.597864587152011e-05,9.008197459688319e-08,0.7999999999999993,0.3993989478197448,0.999,0.7999999999999993,0.3993989478197448,0.0010000000000000002,4.499594631114314e-05,3.6032789838753236e-05,1.7989322935760056e-05,4.5040987298441595e-08,0.0010000000000000002,1000
0.5575,0.555,0.56,0.999,8.999189262228628e-05,1.8016394919376618e-05,1.801639491937662e-05,9.008197459688319e-08,0.19999999999999982,0.19999999999999987,0.999,0.19999999999999982,0.19999999999999987,0.0010000000000000002,4.499594631114314e-05,9.008197459688309e-06,9.00819745968831e-06,4.5040987298441595e-08,0.0010000000000000002,1000
0.56,0.5575,0.5625,1.0,9.008197459688316e-05,1.8016394919376618e-05,1.801639491937662e-05,0.0,0.19999999999999982,0.19999999999999987,1.0,0.19999999999999982,0.19999999999999987,0.0,4.504098729844158e-05,9.008197459688309e-06,9.00819745968831e-06,0.0,0.0,1000
0.5625,0.56,0.565,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.565,0.5625,0.5675,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5675,0.565,0.57,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.57,0.5675,0.5725,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5725,0.57,0.575,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.575,0.5725,0.5775,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5775,0.575,0.58,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.58,0.5775,0.5825,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5825,0.58,0.585,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.585,0.5825,0.5875,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5875,0.585,0.59,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.59,0.5875,0.5925,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5925,0.59,0.595,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.595,0.5925,0.5975,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.5975,0.595,0.6,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
0.6,0.5975,0.6,1.0,9.008197459688316e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.504098729844158e-05,0.0,0.0,0.0,0.0,1000
